timestamp_utc,parte,modelo,backend,caso_id,parametros,corrida,prompt,salida,respuesta_extraida,esperada,acierto,input_tokens,output_tokens,reasoning_tokens,visible_output_tokens,latencia_s,costo_usd,error
2026-09-19T14:39:10.998155+00:00,0b,gpt2,local,seguro,"{""do_sample"": false}",0,The capital of France is,"The capital of France is the capital of the French Republic, and the capital of the French Republic is the capital of the French Republic.

The French Republic is the capital of the French Republic.

The French Republic",,,,,,,,,0,
2026-09-19T14:39:11.726005+00:00,0b,gpt2,local,seguro,"{""do_sample"": false}",1,The capital of France is,"The capital of France is the capital of the French Republic, and the capital of the French Republic is the capital of the French Republic.

The French Republic is the capital of the French Republic.

The French Republic",,,,,,,,,0,
2026-09-19T14:39:12.543942+00:00,0b,gpt2,local,seguro,"{""do_sample"": false}",2,The capital of France is,"The capital of France is the capital of the French Republic, and the capital of the French Republic is the capital of the French Republic.

The French Republic is the capital of the French Republic.

The French Republic",,,,,,,,,0,
2026-09-19T14:39:13.358730+00:00,0b,gpt2,local,seguro,"{""do_sample"": false}",3,The capital of France is,"The capital of France is the capital of the French Republic, and the capital of the French Republic is the capital of the French Republic.

The French Republic is the capital of the French Republic.

The French Republic",,,,,,,,,0,
2026-09-19T14:39:14.363505+00:00,0b,gpt2,local,seguro,"{""do_sample"": false}",4,The capital of France is,"The capital of France is the capital of the French Republic, and the capital of the French Republic is the capital of the French Republic.

The French Republic is the capital of the French Republic.

The French Republic",,,,,,,,,0,
2026-09-19T14:39:15.427623+00:00,0b,gpt2,local,seguro,"{""do_sample"": true, ""top_k"": 1}",0,The capital of France is,"The capital of France is the capital of the French Republic, and the capital of the French Republic is the capital of the French Republic.

The French Republic is the capital of the French Republic.

The French Republic",,,,,,,,,0,
2026-09-19T14:39:16.702806+00:00,0b,gpt2,local,seguro,"{""do_sample"": true, ""top_k"": 1}",1,The capital of France is,"The capital of France is the capital of the French Republic, and the capital of the French Republic is the capital of the French Republic.

The French Republic is the capital of the French Republic.

The French Republic",,,,,,,,,0,
2026-09-19T14:39:18.229506+00:00,0b,gpt2,local,seguro,"{""do_sample"": true, ""top_k"": 1}",2,The capital of France is,"The capital of France is the capital of the French Republic, and the capital of the French Republic is the capital of the French Republic.

The French Republic is the capital of the French Republic.

The French Republic",,,,,,,,,0,
2026-09-19T14:39:20.356300+00:00,0b,gpt2,local,seguro,"{""do_sample"": true, ""top_k"": 1}",3,The capital of France is,"The capital of France is the capital of the French Republic, and the capital of the French Republic is the capital of the French Republic.

The French Republic is the capital of the French Republic.

The French Republic",,,,,,,,,0,
2026-09-19T14:39:22.160494+00:00,0b,gpt2,local,seguro,"{""do_sample"": true, ""top_k"": 1}",4,The capital of France is,"The capital of France is the capital of the French Republic, and the capital of the French Republic is the capital of the French Republic.

The French Republic is the capital of the French Republic.

The French Republic",,,,,,,,,0,
2026-09-19T14:39:25.519017+00:00,0b,gpt2,local,incierto,"{""do_sample"": false}",0,"In the future, artificial intelligence will","In the future, artificial intelligence will be able to do things like search for information about people, and to do things like search for information about people.

""We're going to see a lot of things that are going to be",,,,,,,,,0,
2026-09-19T14:39:27.188720+00:00,0b,gpt2,local,incierto,"{""do_sample"": false}",1,"In the future, artificial intelligence will","In the future, artificial intelligence will be able to do things like search for information about people, and to do things like search for information about people.

""We're going to see a lot of things that are going to be",,,,,,,,,0,
2026-09-19T14:39:30.237540+00:00,0b,gpt2,local,incierto,"{""do_sample"": false}",2,"In the future, artificial intelligence will","In the future, artificial intelligence will be able to do things like search for information about people, and to do things like search for information about people.

""We're going to see a lot of things that are going to be",,,,,,,,,0,
2026-09-19T14:39:31.922966+00:00,0b,gpt2,local,incierto,"{""do_sample"": false}",3,"In the future, artificial intelligence will","In the future, artificial intelligence will be able to do things like search for information about people, and to do things like search for information about people.

""We're going to see a lot of things that are going to be",,,,,,,,,0,
2026-09-19T14:39:33.672334+00:00,0b,gpt2,local,incierto,"{""do_sample"": false}",4,"In the future, artificial intelligence will","In the future, artificial intelligence will be able to do things like search for information about people, and to do things like search for information about people.

""We're going to see a lot of things that are going to be",,,,,,,,,0,
2026-09-19T14:39:35.328174+00:00,0b,gpt2,local,incierto,"{""do_sample"": true, ""top_k"": 1}",0,"In the future, artificial intelligence will","In the future, artificial intelligence will be able to do things like search for information about people, and to do things like search for information about people.

""We're going to see a lot of things that are going to be",,,,,,,,,0,
2026-09-19T14:39:38.158622+00:00,0b,gpt2,local,incierto,"{""do_sample"": true, ""top_k"": 1}",1,"In the future, artificial intelligence will","In the future, artificial intelligence will be able to do things like search for information about people, and to do things like search for information about people.

""We're going to see a lot of things that are going to be",,,,,,,,,0,
2026-09-19T14:39:40.714505+00:00,0b,gpt2,local,incierto,"{""do_sample"": true, ""top_k"": 1}",2,"In the future, artificial intelligence will","In the future, artificial intelligence will be able to do things like search for information about people, and to do things like search for information about people.

""We're going to see a lot of things that are going to be",,,,,,,,,0,
2026-09-19T14:39:43.880040+00:00,0b,gpt2,local,incierto,"{""do_sample"": true, ""top_k"": 1}",3,"In the future, artificial intelligence will","In the future, artificial intelligence will be able to do things like search for information about people, and to do things like search for information about people.

""We're going to see a lot of things that are going to be",,,,,,,,,0,
2026-09-19T14:39:45.668974+00:00,0b,gpt2,local,incierto,"{""do_sample"": true, ""top_k"": 1}",4,"In the future, artificial intelligence will","In the future, artificial intelligence will be able to do things like search for information about people, and to do things like search for information about people.

""We're going to see a lot of things that are going to be",,,,,,,,,0,
2026-09-19T15:07:27.872659+00:00,1,gpt-5.6-luna,openai,c01,"{""effort"": ""low""}",1,"Resuelve el problema. La respuesta debe ser un único número. Devuelve exclusivamente JSON válido con esta forma: {""answer"": numero}.

Problema: Una biblioteca tiene 27 libros y compra 15 más. ¿Cuántos libros tiene ahora?","{""answer"":42}",42,42,True,81,15,0,15,1.67,3.4200000000000005e-05,
2026-09-19T15:07:28.870823+00:00,1,gpt-5.6-luna,openai,c02,"{""effort"": ""low""}",1,"Resuelve el problema. La respuesta debe ser un único número. Devuelve exclusivamente JSON válido con esta forma: {""answer"": numero}.

Problema: En una clase hay 36 estudiantes. Se forman grupos de 4 estudiantes. ¿Cuántos grupos completos se forman?","{""answer"":9}",9,9,True,86,15,0,15,0.996,3.52e-05,
